thank you for watching.,"['thank', 'for', '.']"
they've done their job.,"[""'ve"", 'done', 'their', '.']"
"some of these young nco's have had 4, 5, 6, 7 rotations to iraq and afghanistan.","['of', 'young', ""'s"", 'have', 'had', ',', '5', ',', '6', '7', 'rotations', 'iraq', 'and', '.']"
don't wait until we wind down to change the character of the contract with the soldiers and marines.,"['do', ""n't"", 'wait', 'we', 'down', 'to', 'the', 'of', 'the', 'with', 'the', 'and', '.']"
"that would not only weaken our defense, in my opinion it would be morally wrong.","['would', 'not', 'only', 'weaken', 'our', ',', 'in', 'opinion', 'would', 'morally', 'wrong']"
"got it, general, general bob scales, always a privilege to have you here.","['got', ',', ',', 'general', 'scales', ',', 'always', 'a', 'to', 'have', 'here', '.']"
"thank you, jamie.","['thank', ',', '.']"
some sobering thoughts there from the general.,"['sobering', 'thoughts', 'there', 'from', 'general']"
"meantime, we're keeping our eye on the monster snowstorm pounding the northeast.","['northeast', 'we', 'keeping', 'eye', 'the', '.', 'meantime', 'monster', 'our', 'pounding']"
"some areas already seeing more than two feet of snow andforecasters warn there's more to come, wow.","['areas', 'already', 'seeing', 'more', 'than', 'feet', 'of', 'snow', 'warn', 'there', ""'s"", 'more', 'come', ',', 'wow']"
"plus, new efforts to help you eat healthy could come with a huge price tag.","[',', 'efforts', 'to', 'help', 'eat', 'healthy', 'come', 'with', 'a', 'huge', 'price', '.']"
a look at the f.d.a.,"['look', 'at', 'f.d.a']"
's proposal for grocery stores and what it could mean for business owners and customers like you.let's say you pay your guy around 2% to manage your money.,"['proposal', 'for', 'stores', 'and', 'what', 'could', 'for', 'owners', 'and', 'customers', 'you.let', ""'s"", 'say', 'pay', 'your', 'around', '2', 'to', 'manage', 'money', '.']"
"that's not much, you think.","[""'s"", 'not', 'much', ',', 'think']"
except it's 2% every year.,"['it', '2', '%', 'every', 'year']"
go to e-trade and find out how much our advice and guidance costs.,"['go', 'e-trade', 'and', 'out', 'how', 'our', 'advice', 'and', 'costs', '.']"
spoiler it's low.,"['spoiler', ""'s"", 'low', '.']"
"it's guidance on your terms, not ours.","[""'s"", 'guidance', 'on', 'terms', 'not', 'ours']"
"officewith an online package new domain name,y!","['an', 'package', 'new', 'domain', 'name', ',', 'y']"
website builder with five pages and basic email just $49.99!,"['website', 'builder', 'five', 'pages', 'and', 'email', 'just', '$', '49.99']"
that's up to 76 percent below online providers and only at officemax stores!,"[""'s"", 'up', '76', 'below', 'online', 'providers', 'only', 'at', 'officemax', '!']"
"welcome back, there are some growing concerns over new plans to regulate your food.","['welcome', 'back', 'there', 'some', 'growing', 'over', 'new', 'plans', 'regulate', 'your', 'food']"
"the food and drug administration wants grocery stores and supermarkets to post nutritional information for customers just like chain restaurants do, but many in the food industry say this will cost big bucks and those costs will be passed on to you, the customer, the consumer.","[',', 'for', 'and', ',', 'in', 'customers', 'do', 'bucks', 'will', 'wants', 'food', 'administration', 'be', 'say', 'just', 'stores', 'the', 'those', 'to', 'food', 'cost', 'you', 'the', 'consumer', '.', 'nutritional', ',', 'costs', 'grocery', 'many', 'restaurants', 'will', 'like', 'post', 'and', 'on', 'supermarkets']"
shannon bream has more on the story from washington.,"['shannon', 'the', 'bream', 'has', 'from', 'more', 'washington']"
"most within the restaurant industry were on board with requirements stemming in the new health care law, providing nutritional information on the menu.","['most', 'the', 'industry', 'were', 'on', 'board', 'requirements', 'stemming', 'the', 'new', 'health', 'law', 'providing', 'nutritional', 'information', 'on', 'the', '.']"
"when they decided to expand to supermarkets and convenience stores, store owners were alarmed.","['when', 'decided', 'to', 'to', 'supermarkets', 'convenience', 'stores', 'store', 'owners', 'were', '.']"
they would be burdensome.,"['would', 'be', 'burdensome', '.']"
"under the proposed regulation thousands of stores would be forced to label unpackaged food like those in a salad bar, pastas, soups and favorite bakery items.the food marketing institute estimates it would cost retailers a billion dollars in the first year.","['the', 'regulation', 'thousands', 'of', 'stores', 'be', 'forced', 'to', 'label', 'unpackaged', 'like', 'those', 'in', 'a', 'bar', 'pastas', 'soups', 'favorite', 'bakery', 'items.the', 'marketing', 'institute', 'it', 'would', 'retailers', 'a', 'billion', 'dollars', 'in', 'the', 'first', 'year']"
a supermarket industry is a business well-known that our net profit line average and has been forever is 1%.,"['is', 'has', 'and', 'our', 'supermarket', 'been', 'forever', 'average', 'a', 'well-known', 'profit', '1', '.', 'industry', '%', 'that']"
"so, when you incur a significant cost, there's no way that that doesn't get passed on to the customer in some form.","['so', 'when', 'you', 'a', 'significant', ',', 'there', ""'s"", 'way', 'that', 'does', 'get', 'passed', 'to', 'customer', 'in', 'some', 'form', '.']"
and there are some stiff personalities.,"['there', 'some', 'stiff', '.']"
"if you get it wrong, get this.","['you', 'it', 'wrong', 'get', 'this']"
it's a federal crime and you could face jail time and thousands of dollars worth of fines.,"[""'s"", 'a', 'crime', 'and', 'you', 'face', 'time', 'and', 'thousands', 'of', 'dollars', 'of', 'fines']"
"says, quote, the information should help consumers limit excess calorie intake and understand how the foods that they purchase at these establishments fit within their daily coloric and other nutritional means.","['says', 'quote', ',', 'information', 'help', 'consumers', 'limit', 'excess', 'calorie', 'intake', 'and', 'understand', 'how', 'foods', 'that', 'they', 'at', 'these', 'fit', 'their', 'daily', 'and', 'nutritional', 'means', '.']"
and the f.d.a.,"['the', '.']"
failed to complete a cost benefit analysis of the regulation in order to justify its necessity.,"['failed', 'complete', 'a', 'benefit', 'analysis', 'of', 'the', 'in', 'to', 'justify', 'necessity', '.']"
they're required to do it and they didn't.,"[""'re"", 'required', 'to', 'it', 'and', 'did', '.']"
they simply said we can't quantify a benefit from thisrule and that's because they can't.,"['simply', 'said', 'we', ""n't"", 'quantify', 'a', 'benefit', 'thisrule', 'and', ""'s"", 'because', 'ca', '.']"
says it's received hundreds of public comments on the proposed regulation and consider them before issuing a final role which they say will include that economic analysis.,"['says', ""'s"", 'received', 'hundreds', 'of', 'comments', 'on', 'the', 'regulation', 'consider', 'them', 'before', 'a', 'final', 'which', 'say', 'will', 'that', 'economic', 'analysis']"
"in washington, shannon bream, fox news.","['washington', ',', 'bream', ',', 'fox', '.']"
"we thank you, shannon for that report.","['thank', 'you', 'shannon', 'that', 'report']"
"in the meantime, the search for the suspected ex-cop turned suspected killer is turning more challenging by the day.","['the', ',', 'the', 'for', 'suspected', 'ex-cop', 'suspected', 'is', 'turning', 'more', 'challenging', 'by', 'the', 'day', '.']"
"there's a winter storm and it's slowing investigators progress not in the northeast or having their own, they are looking for christopher dorner and police say they're not going to give up.","[""'s"", 'a', 'storm', 'and', 'it', 'slowing', 'progress', 'not', 'in', 'the', 'northeast', 'or', 'their', ',', 'they', 'looking', 'for', 'dorner', 'and', 'say', ""'re"", 'not', 'going', 'give', 'up', '.']"
"our folks just have different clothes and boots on, but we're going to continue regardless of the weather and we have the equipment we need to get up on top of the mountain and our folks have the clothing they need to get through this weather.","['folks', 'just', 'have', 'different', 'clothes', 'and', 'on', ',', 'we', 'going', 'continue', 'of', 'the', 'weather', 'we', 'have', 'the', 'we', 'to', 'get', 'on', 'of', 'the', 'and', 'our', 'have', 'the', 'they', 'need', 'get', 'this', 'weather']"
in america today we're running out of a resource we need.,"['america', 'today', 'we', 'running', 'out', 'of', 'a', 'we', '.']"
what we need are people lege s to fill them.,"['we', 'are', 'people', 'lege', 's', 'to', 'fill', '.']"
"that's why at devry university, we're teaming up with companies like cisco to help make sure everyone's is readywith the know how we need for a new tomorrow.make sure america's ready.","[""'s"", 'why', 'at', 'university', ',', 'we', 'teaming', 'with', 'companies', 'like', 'to', 'make', 'sure', ""'s"", 'is', 'the', 'know', 'how', 'we', 'need', 'a', 'new', 'tomorrow.make', 'america', ""'s"", 'ready']"
great job dominic.,"['great', 'job', 'dominic']"
"we have learned from the past few minutes, indeed, 16 years old she is safe.","['indeed', '.', 'learned', 'past', 'years', 'old', 'minutes', 'from', ',', 'safe', 'is', ',', 'have']"
"her abductor, james dimaggio is dead.","['abductor', ',', 'dimaggio', 'is', 'dead', '.']"
killed we believe in an f.b.i.,"['killed', 'believe', 'in', 'f.b.i']"
shootout at a camp siet in remote wilderness in idaho.,"['idaho', '.', 'a', 'remote', 'siet', 'in', 'shootout', 'in']"
this taking place in the last hour and a half.,"['taking', 'place', 'in', 'last', 'and', 'a', 'half']"
san diego's sheriff department saying there was a confrontation between f.b.i.,"['san', 'diego', 'sheriff', 'department', 'saying', 'there', 'a', 'confrontation', 'f.b.i', '.']"
officers who moved inafter he was spotted at a campsite he had made with himself.,"['officers', 'moved', 'inafter', 'he', 'spotted', 'at', 'a', 'he', 'made', 'with', '.']"
we don't know whether it was a drone or helicopter.,"['do', ""n't"", 'know', 'whether', 'was', 'drone', 'or', '.']"
there was a confrontation.,"['was', 'a', '.']"
there was a shootout and hannah managed to survive.,"['was', 'a', 'and', 'hannah', 'to', 'survive', '.']"
right now she is being taken to a hospital to be inspected to see if she is okay.,"['right', 'now', 'is', 'being', 'taken', 'to', 'hospital', 'be', 'inspected', 'see', 'if', 'she', 'okay', '.']"
her father who was very concerned about her appeal to dimaggio to let her go.,"['father', 'who', 'very', 'concerned', 'about', 'her', 'to', 'to', 'let', 'go', '.']"
they will probably be reunited in the morning.,"['will', 'probably', 'be', 'reunited', 'in', 'morning']"
moments from now we are expecting a press conference from the f.b.i.,"['moments', 'now', 'we', 'expecting', 'a', 'press', 'from', 'the', 'f.b.i']"
and valley county sheriff's department to explain how the tactical operation played out.,"['valley', 'county', 'sheriff', ""'s"", 'to', 'explain', 'the', 'tactical', 'operation', 'out', '.']"
we'll have details hopefully how dimaggio died but the best news is that hannah is safe.,"[""'ll"", 'have', 'details', 'hopefully', 'how', 'dimaggio', 'died', 'but', 'best', 'is', 'that', 'hannah', 'is', '.']"
this goes back a week when her mother and brother were killed at the house.,"['goes', 'back', 'a', 'when', 'her', 'mother', 'brother', 'were', 'at', 'the', 'house', '.']"
he abducted hannah who we believe had a long obsession with and vanished for threedays.,"['abducted', 'hannah', 'who', 'believe', 'a', 'long', 'obsession', 'and', 'vanished', 'for', '.']"
his car was found nearby close to the camping site where they were found.,"['car', 'was', 'found', 'nearby', 'close', 'to', 'camping', 'where', 'they', 'were', 'found']"
150 f.b.i.,"['150', 'f.b.i']"
officers and local enforcement going through the wilderness on foot and horseback.,"['officers', 'local', 'enforcement', 'going', 'through', 'wilderness', 'foot', 'and', '.']"
finally they were spotted today.,"['finally', 'were', 'spotted', 'today', '.']"
hannah was found safe.,"['hannah', 'was', 'found', 'safe']"
"we'll have more details, back to you.","[""'ll"", 'have', 'more', 'details', ',', 'to', 'you']"
judge thanks so much for that.,"['judge', 'thanks', 'so', 'much', 'that']"
we hope to be back with you.,"['hope', 'to', 'back', 'with', 'you']"
"on the phone right now, we have brett anderson, hannah's father joins us.","['the', 'right', 'now', ',', 'we', 'brett', ',', 'hannah', ""'s"", 'father', 'us', '.']"
"brett, are you there?","['brett', 'are', 'you', '?']"
"yes, i am.","['am', ',', '.']"
judge i feel terrific.,"['judge', 'i', 'feel', 'terrific']"
i can't imagine how you feel.,"['i', 'ca', ""n't"", 'imagine', 'how', 'feel', '.']"
talk us?,"['talk', '?']"
i have very mixed emotions.,"['have', 'i', 'very', 'emotions', 'mixed']"
"i'm ecstatic that my daughter, we will be reunited.","['i', ""'m"", 'ecstatic', 'my', ',', 'we', 'be', '.']"
